purchase_id,customer_id,product_id,purchase_date,quantity,total_amount
1,1,42,15-04-2018,3,37.64207365
2,1,138,10-07-2022,4,70.24710587
3,1,403,31-12-2021,3,89.16889586
4,1,193,14-01-2017,2,59.70505931
5,1,26,06-04-2018,3,101.7788639
6,1,357,04-02-2020,5,167.3844015
7,1,192,21-09-2023,5,201.9883425
8,2,225,31-07-2021,5,82.87969346
9,2,218,03-11-2023,5,230.9389124
10,2,176,30-12-2022,2,41.32577291
11,2,14,27-07-2023,1,49.40745913
12,2,444,14-09-2023,2,39.66152687
13,2,150,09-12-2021,3,30.63026923
14,2,55,19-12-2022,1,42.61748689
15,2,134,22-10-2021,3,137.0824997
16,2,107,31-07-2022,3,11.31157327
17,2,415,20-03-2023,2,91.31597883
18,2,389,01-11-2022,4,182.2416563
19,2,123,24-11-2022,4,99.92195439
20,3,459,22-03-2019,3,32.81843738
21,3,25,05-09-2022,3,125.4992556
22,3,476,08-08-2019,1,11.70088164
23,3,232,09-01-2023,5,171.3001873
24,3,71,17-01-2019,3,68.86068683
25,3,230,01-01-2021,4,191.0039566
26,3,213,20-09-2018,4,128.9634726
27,3,127,27-12-2019,1,8.503418808
28,3,328,06-05-2019,3,65.14009104
29,3,6,28-02-2020,5,244.7203119
30,3,24,25-09-2018,5,211.8726827
31,3,349,23-09-2018,3,56.78483395
32,3,252,12-11-2022,2,4.122401443
33,3,146,03-06-2020,2,71.66954188
34,4,327,05-08-2020,1,29.69849697
35,4,305,18-07-2022,1,14.45394173
36,4,35,08-02-2021,2,70.41846479
37,4,378,29-09-2023,1,43.5299675
38,4,393,03-05-2021,2,42.40874524
39,4,335,22-08-2018,1,3.822422068
40,4,329,23-08-2019,1,8.306429529
41,4,370,09-07-2018,1,39.81217168
42,4,86,24-01-2019,2,88.12662081
43,4,351,04-12-2020,3,127.8754931
44,4,199,15-11-2022,4,166.62559
45,4,322,18-01-2019,5,185.6809628
46,4,348,16-07-2019,4,186.7967631
47,4,299,09-09-2019,3,60.54151257
48,4,80,17-10-2020,4,77.85189511
49,4,228,18-12-2022,5,42.19568575
50,4,94,13-06-2020,1,24.0996389
51,4,215,23-07-2021,2,60.001347
52,5,234,04-05-2021,4,151.4068443
53,5,107,07-04-2019,2,90.11795885
54,5,275,22-10-2018,4,189.1156605
55,5,21,29-03-2023,5,148.581304
